name,question,response
Ship.com Automatic Package Tracker,quit,
Simon,"""Alexa, open Simon.""","Hmm, I don't know that."
Simon,quit,
Simon,"""Alexa, open Simon.""","Hmm, I don't know that."
Simon,"""What are the center hours""",Business hour for the Center on E 6th St in Leadville is not available.
Simon,quit,
Simon,"""Alexa, open Simon.""","Hmm, I don't know that one."
Simon,"""Tell me some deals""",<Audio only response>
Simon,quit,
grocery,"""Alexa, ask grocery manager to get my grocery list""",I couldn't find a list called grocery. Should I create one?
grocery,quit,
grocery,"""Alexa, ask grocery manager to add onion 1 lb""","I've added alexa, ask grocery manager onion 1 lb to your Shopping list."
grocery,quit,
grocery,quit,
grocery,"""Alexa, ask grocery manager to clear my grocery list""","You can delete a list in the Alexa App, or ask me to 'clear your list'."
grocery,quit,
grocery,quit,
